ID,Name,Categories,,,,,,Neighborhoods
3103,JoJo Restaurant & Bar,American (Traditional),Jazz & Blues,Lounges,,,,U Street Corridor
3113,Restaurant Judy,Latin American,,,,,
3006,Penn Quarter Sports Tavern,Sports Bars,American (Traditional),,,,,Penn Quarter
2984,Gordon Biersch Brewery Restaurant,American (New),Breweries,,,,,Penn Quarter
2588,Kellari Taverna,Greek,Seafood,Bars,,,
2707,Nage Bistro,American (New),Seafood,,,,,Dupont Circle
2481,Legal Sea Foods,Seafood,Gluten-Free,,,,
2331,Bukom Cafe,African,,,,,,Adams Morgan
2456,La Piquette,French,,,,,
2495,Rocket Bar,Pool Halls,,,,,
2696,Lucky Bar,Pubs,Sports Bars,,,,,Dupont Circle
2712,Public Bar Dupont,Sports Bars,American (Traditional),,,,,Dupont Circle
2675,Grillfish,Seafood,Steakhouses,"Beer, Wine & Spirits",,,
2756,Chad's,Bars,American (Traditional),,,,,Friendship Heights
2786,ENO Wine Bar,Wine Bars,,,,,,Georgetown
2777,Clyde's,American (Traditional),Bars,,,,,Georgetown
2363,Mintwood Place,American (New),French,,,,,Adams Morgan
2776,Fiola Mare,Seafood,Italian,Cocktail Bars,,,
2519,El Chucho Cocina Superior,Mexican,,,,,,Columbia Heights
2360,Madam's Organ Blues Bar,Jazz & Blues,Music Venues,,,,,Adams Morgan
2941,Colony Club,Coffee & Tea,Cafes,Bars,,,,Park View
3049,Molly Malone's Capitol Hill Saloon,Irish,Sports Bars,,,,,Capitol Hill
2370,Soussi,Hookah Bars,Mediterranean,,,,,Adams Morgan
2808,Old Glory,Barbeque,Bars,American (Traditional),,,,Georgetown
2883,The Royal,Coffee & Tea,Latin American,Cocktail Bars,,,
2914,Purple Patch,Filipino,,,,,,Mount Pleasant
2961,Capitol City Brewing Company,Breweries,American (Traditional),,,,
2948,701 Restaurant,American (New),Jazz & Blues,,,,,Penn Quarter
3118,Masa 14,Asian Fusion,,,,,
2466,Busboys and Poets,Breakfast & Brunch,Vegan,Coffee & Tea,,,,U Street Corridor
2480,La Tasca,Spanish,Tapas Bars,,,,,Chinatown
2473,Hooters,Chicken Wings,Sports Bars,American (Traditional),,,,Shaw
2390,Brookland Pint,Bars,American (Traditional),,,,
3125,Piola,Pizza,Italian,,,,
3097,Dickson Wine Bar,Wine Bars,,,,,
2881,McClellan's Retreat,Bars,,,,,
3057,DeCarlo's,Italian,Comfort Food,,,,,American University Park
3076,Bar Pilar,American (New),Cocktail Bars,,,,
3077,Ben's Next Door,Bars,American (Traditional),,,,,U Street Corridor
3073,Alphonse Italian Market & Osteria,Italian,Specialty Food,,,,,U Street Corridor
2435,Stanton & Greene,American (New),Cocktail Bars,,,,,Capitol Hill
3028,Dacha Beer Garden,Beer Gardens,,,,,,Shaw
3078,Cafe Saint-Ex,Pubs,American (Traditional),,,,
